Acton Town,"District
Piccadilly"
Aldgate,"Metropolitan[a]
Circle"
Aldgate East,"Hammersmith & City[d]
District"
All Saints,DLR (Stratford Branch)
Alperton,Piccadilly[h]
Amersham,Metropolitan
Angel,Northern
Archway,Northern
Arnos Grove,Piccadilly
Arsenal,Piccadilly
Baker Street,"Metropolitan[b]
Bakerloo
Circle
Jubilee
Hammersmith & City"
Balham,Northern
Bank,"Waterloo & City
Northern
Central
DLR (Bank Branch)"
Barbican,"Metropolitan[b]
Circle
Hammersmith & City"
Barking,"District[j]
Hammersmith & City"
Barkingside,Central
Barons Court,"District
Piccadilly"
Bayswater,"District[c]
Circle"
Beckton,DLR (Beckton Branch)
Beckton Park,DLR (Beckton Branch)
Becontree,District
Belsize Park,Northern
Bermondsey,Jubilee
Bethnal Green,Central
Blackfriars[7],"District[i]
Circle"
Blackhorse Road,Victoria
Blackwall,DLR (Beckton Branch)
Bond Street,"Central
Jubilee"
Borough,Northern
Boston Manor,Piccadilly[l]
Bounds Green,Piccadilly
Bow Church,DLR (Stratford Branch)
Bow Road,"District[j]
Hammersmith & City"
Brent Cross,Northern
Brixton,Victoria
Bromley-by-Bow,"District[j]
Hammersmith & City"
Buckhurst Hill,Central
Burnt Oak,Northern
Caledonian Road,Piccadilly
Camden Town,Northern
Canada Water,Jubilee
Canary Wharf,Jubilee
Canary Wharf,DLR (Lewisham Branch)
Canning Town,"DLR (Beckton & Woolwich Arsenal Branches)
Jubilee"
Cannon Street,"District[i]
Circle"
Canons Park,Jubilee[e]
Chalfont & Latimer,Metropolitan
Chalk Farm,Northern
Chancery Lane,Central
Charing Cross,"Bakerloo
Northern"
Chesham,Metropolitan
Chigwell,Central
Chiswick Park,District
Chorleywood,Metropolitan
Clapham Common,Northern
Clapham North,Northern
Clapham South,Northern
Cockfosters,Piccadilly
Colindale,Northern
Colliers Wood,Northern
Covent Garden,Piccadilly
Crossharbour,DLR (Lewisham Branch)
Croxley,Metropolitan
Custom House,DLR (Beckton Branch)
Cutty Sarkfor Maritime Greenwich,DLR (Lewisham Branch)
Cyprus,DLR (Beckton Branch)
Dagenham East,District
Dagenham Heathway,District
Debden,Central
Deptford Bridge,DLR (Lewisham Branch)
Devons Road,DLR (Stratford Branch)
Dollis Hill,Jubilee[e]
Ealing Broadway,"District
Central"
Ealing Common,"District
Piccadilly"
Earl's Court,"District
Piccadilly"
East Acton,Central
East Finchley,Northern
East Ham,"District[j]
Hammersmith & City"
East India,DLR (Beckton Branch)
East Putney,District
Eastcote,"Metropolitan
Piccadilly[k]"
Edgware,Northern
Edgware Road,Bakerloo
Edgware Road,"Hammersmith & City[c][d]
District
Circle"
Elephant & Castle,"Northern
Bakerloo"
Elm Park,District
Elverson Road,DLR (Lewisham Branch)
